"id","advertiser_id","advertiser_name","disclaimer","spend","ad_library_size","date_produced","country_code","currency_units","create_date","update_date"
"45fdc7c2-8843-48cf-bfc9-a0bac3e26883","110540418715","VIER VOETERS","VIER VOETERS",50,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"36bb1a55-6339-463c-bebc-8956b7767f03","225160178094449","Corekees","Corekees",50,6,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"1bb85357-e18c-4244-a081-f0d365bb7afc","141801972540083","EW Magazine","EW Magazine",50,8,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"c653123b-cfac-4847-8835-00ad39416aed","143686555666670","Trees for All","Trees for All",50,5,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"a6f1a912-f3c7-44fd-9368-0a61503eda68","111190905649544","SIRE","SIRE",50,33,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"33aa052b-a4b2-4be2-8b0e-8bae4590dab3","202064936858448","Geert Wilders","Geert Wilders",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"ebdbe39d-3fe1-4859-afc2-cf0e8ddcb3ce","323859754295042","Language Rights","stichting European Language Rights",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"7a397e8f-c7d2-4773-a1d8-d060348ae040","377484722432934","PvdA Provincie Utrecht","PvdA Provincie Utrecht",50,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"9e1c6665-3536-4c94-b35d-c46eeb3c9266","106020448037192","JA21","JA21.nl",50,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"07af388b-4cbf-42f4-b031-634ec9ba632a","124564577597743","Ministerie van Economische Zaken en Klimaat","Ministerie van Economische Zaken en Klimaat",50,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"185851a3-0f9b-4fe7-aa10-f4d51d1f795a","100993049941618","Gemeente Den Haag","Gemeente Den Haag",50,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"69b7dc84-c505-4da9-aac1-379523d853e4","178362315106","European Parliament","European Parliament",50,8,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"ac739aa6-e822-428d-9eb7-2557aaaef320","102523116490167","NJR","NJR",50,8,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"5178d76a-9a7b-4c8e-8f83-6ae64d22c814","100725729586006","Diversity Academy","Stichting BO Diversity",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"548c1b73-f3e4-404a-bcbf-6c04ed975abd","164448196903465","Simavi","Simavi",50,16,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"bf4445b6-d016-4c90-9387-b604a4cc0003","104925795239389","Ismail El Abassi","Ismail El Abassi",50,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"0d1bf9ea-2817-4792-b189-bc302653d9f7","101400948890904","Belang van Nederland - Groningen","Belang van Nederland - Groningen",50,12,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"23ba5e99-74f8-42b6-a0fa-4b89caad802b","147683725284795","Mercy Ships Holland","Mercy Ships Holland",50,29,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"dba3d3cf-1281-43c6-a340-aa06c7459528","108546261782184","BBB Boerburgerbeweging Limburg","BBB BoerBurgerBeweging",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"e6e13e76-3253-4974-8fd2-1d1a729589e2","108387285493926","50PLUS-Overijssel","50Plus Overijssel",50,4,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"e1cbc5db-d983-4596-90ab-a5197c9c00e6","590278581173405","Sociëteit der Bergenvaarders","Sociëteit der Bergenvaarders",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"b55f93e8-dc01-470c-afa4-73533ae6dc64","1530277467215488","VVD Drenthe","VVD",50,7,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"678b0de9-2aa3-4854-bac3-e27001a2d03a","104709215016732","JA21 Brabant","JA 21 Brabant",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"4689ebb7-54f1-4c21-aaf2-5595c56dd8a2","160001040736183","Fairtrade Nederland","Fairtrade Nederland",50,15,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"1c61af6c-c005-4432-9274-b6454bde5988","100807068552295","Looop","Looop",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"8e3cca22-59cb-46d7-b8f7-c0172d45ff46","145580068834607","Veteranendag","Veteranendag",50,5,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"8699a2d6-7f5b-42d8-a672-c3d5fe7f558f","102905492302806","BBB Boerburgerbeweging Zeeland","BoerBurgerBeweging",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"e2c38006-571b-4854-90f1-fced48b3aee8","354196741370845","Brandpunt+","KRO-NCRV",50,4,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"e9efd7f5-5f8c-4dd3-b69c-d45acff9ccb0","347623668624706","50PLUSpartij","VLG",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"a49f7c01-3135-4130-890e-e198549a4223","486293704724646","Krnwtr+ / Zereau Drinks","KRNWTR",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"9f9b6998-1999-4d78-bc57-114f9a0a0440","622273574544880","Sterk Lokaal Drenthe","Wifi´s",50,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"562805ed-22ec-49a6-ad9c-8effa7bcface","480539702005665","DE VERLEIDERS","DE VERLEIDERS",50,8,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"1be241f8-0ac7-41eb-8718-9af7137e927a","1885139435031870","PVV Den Bosch","Stichting PVV Den Bosch",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"dc9b1217-f325-4c7f-8ef7-b72de15a943d","301641784038642","Strong Babies","Strong Babies",50,5,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"198d6a9a-f038-4982-987e-3204e7d5d856","542364179119408","FNP Fryslân","FNP Fryslân",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"5db6f9e1-8133-44ed-8711-9fd52be0fd7d","275725382472738","Gemeente Nijmegen","gemeente Nijmegen",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"7d8b62e8-ad5d-4614-b1ce-2f435339cbd5","582747471885273","Gemeente Barendrecht","Gemeente Barendrecht",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"25321d99-769f-4469-8d9e-3c0abea5c60d","924019610958351","CDA Krimpenerwaard","CDA Krimpenerwaard",50,3,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"a3efdbb1-e3b1-4492-ae2d-0891b49267ca","310600059078125","Gemeente Oosterhout","Gemeente Oosterhout",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"3c2cd817-4e40-45f8-b925-4a94fdd6acbc","425650727582091","SGP provincie Gelderland","SGP provincie Gelderland",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
